Date,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,,,,,,,,,,,,,,,,,,,
8:10:51 PM,276,-16320,0,284,882,113,,,,,,,,,,,,,,,,,,,
8:10:52 PM,-232,-15656,-2340,-10,79,-102,,,,,,,,,,,,,,,,,,,
8:10:53 PM,2664,-15864,-1928,-257,-191,-322,,,,,,,,,,,,,,,,,,,
8:10:54 PM,332,-16028,844,-297,946,-366,,,,,,,,,,,,,,,,,,,
8:10:55 PM,2460,-15072,1076,-173,-162,-95,,,,,,,,,,,,,,,,,,,
8:10:56 PM,-1224,-16816,676,247,-103,86,,,,,,,,,,,,,,,,,,,
8:10:57 PM,632,-16472,-644,33,-48,-207,,,,,,,,,,,,,,,,,,,
8:10:58 PM,2984,-17540,492,85,-224,-79,,,,,,,,,,,,,,,,,,,
8:10:59 PM,2924,-17732,1240,-272,-238,-200,,,,,,,,,,,,,,,,,,,
8:11:00 PM,808,-15160,348,-381,992,-312,,,,,,,,,,,,,,,,,,,
8:11:01 PM,2732,-16008,1508,-53,-574,-2,,,,,,,,,,,,,,,,,,,
8:11:02 PM,2704,-16884,1996,196,-360,40,,,,,,,,,,,,,,,,,,,
8:11:03 PM,-976,-17692,408,321,997,101,,,,,,,,,,,,,,,,,,,
8:11:04 PM,-1148,-16348,-1960,25,173,-97,,,,,,,,,,,,,,,,,,,
8:11:05 PM,2100,-16232,-1548,-365,35,-407,,,,,,,,,,,,,,,,,,,
8:11:06 PM,-1016,-17964,1316,-296,122,-74,,,,,,,,,,,,,,,,,,,
8:11:07 PM,1728,-15336,800,-182,328,-301,,,,,,,,,,,,,,,,,,,
8:11:08 PM,3240,-16216,1060,185,-565,57,,,,,,,,,,,,,,,,,,,
8:11:09 PM,308,-15124,-1744,-25,800,-121,,,,,,,,,,,,,,,,,,,
8:11:10 PM,2184,-18280,1268,-289,1226,-148,,,,,,,,,,,,,,,,,,,
8:11:11 PM,-768,-15676,-772,-26,196,-296,,,,,,,,,,,,,,,,,,,
8:11:12 PM,3556,-16332,856,61,-1014,-158,,,,,,,,,,,,,,,,,,,
8:11:13 PM,456,-14584,436,-104,578,-182,,,,,,,,,,,,,,,,,,,
8:11:14 PM,3476,-16788,1572,433,-307,105,,,,,,,,,,,,,,,,,,,
8:11:15 PM,2840,-16756,-200,129,-301,-131,,,,,,,,,,,,,,,,,,,
8:11:16 PM,3496,-17484,508,187,-670,139,,,,,,,,,,,,,,,,,,,
8:11:17 PM,1184,-15464,-2272,-142,359,-362,,,,,,,,,,,,,,,,,,,
8:11:18 PM,752,-17520,1568,-43,-701,78,,,,,,,,,,,,,,,,,,,
8:11:19 PM,-328,-15492,880,-67,220,-157,,,,,,,,,,,,,,,,,,,
8:11:20 PM,-2380,-15116,-1128,132,-128,93,,,,,,,,,,,,,,,,,,,
8:11:21 PM,492,-16588,-708,235,458,-36,,,,,,,,,,,,,,,,,,,
8:11:22 PM,-908,-16132,-1628,134,475,-370,,,,,,,,,,,,,,,,,,,
8:11:23 PM,2184,-16432,380,-155,-510,-133,,,,,,,,,,,,,,,,,,,
8:11:24 PM,-1912,-15672,724,-687,215,-241,,,,,,,,,,,,,,,,,,,
8:11:25 PM,3068,-17132,1548,-37,-264,-73,,,,,,,,,,,,,,,,,,,
8:11:26 PM,2260,-15708,-1236,-78,2,-188,,,,,,,,,,,,,,,,,,,
8:11:27 PM,2344,-18528,1164,58,72,39,,,,,,,,,,,,,,,,,,,
8:11:28 PM,-1652,-16028,-88,-220,656,-206,,,,,,,,,,,,,,,,,,,
8:11:29 PM,2928,-15384,312,-408,-752,-403,,,,,,,,,,,,,,,,,,,
8:11:30 PM,-2640,-16992,1204,17,228,105,,,,,,,,,,,,,,,,,,,
8:11:31 PM,1464,-16268,552,61,-129,-71,,,,,,,,,,,,,,,,,,,
8:11:32 PM,3312,-17372,132,-23,544,-177,,,,,,,,,,,,,,,,,,,
8:11:33 PM,964,-15108,-2516,-179,660,-174,,,,,,,,,,,,,,,,,,,
8:11:34 PM,-3136,-16264,-656,-262,64,-345,,,,,,,,,,,,,,,,,,,
8:11:35 PM,3692,-15652,80,-153,-587,-332,,,,,,,,,,,,,,,,,,,
8:11:36 PM,592,-17700,1980,-66,-650,199,,,,,,,,,,,,,,,,,,,
8:11:37 PM,-92,-17044,936,472,-483,164,,,,,,,,,,,,,,,,,,,
8:11:38 PM,392,-15928,-1124,18,1282,-117,,,,,,,,,,,,,,,,,,,
8:11:39 PM,-928,-16108,-2472,-28,-217,-104,,,,,,,,,,,,,,,,,,,
8:11:40 PM,2464,-16724,-780,-31,-491,-264,,,,,,,,,,,,,,,,,,,
8:11:41 PM,3192,-16752,952,-306,-739,-70,,,,,,,,,,,,,,,,,,,
8:11:42 PM,2572,-16636,696,-390,-1029,-181,,,,,,,,,,,,,,,,,,,
8:11:43 PM,-2004,-16352,820,-241,750,-49,,,,,,,,,,,,,,,,,,,
8:11:44 PM,564,-17404,524,236,824,28,,,,,,,,,,,,,,,,,,,
8:11:45 PM,1988,-17104,-456,-132,-239,10,,,,,,,,,,,,,,,,,,,
8:11:46 PM,640,-16644,456,-110,183,-123,,,,,,,,,,,,,,,,,,,
8:11:47 PM,3388,-16740,752,-281,-755,-189,,,,,,,,,,,,,,,,,,,
8:11:48 PM,2584,-17128,1848,109,-453,43,,,,,,,,,,,,,,,,,,,
8:11:49 PM,1656,-17472,812,37,652,-247,,,,,,,,,,,,,,,,,,,
8:11:50 PM,1192,-14940,-2316,-48,628,-340,,,,,,,,,,,,,,,,,,,
8:11:51 PM,-1440,-15228,-1000,-193,105,-335,,,,,,,,,,,,,,,,,,,
8:11:52 PM,1388,-16664,540,38,-4,-339,,,,,,,,,,,,,,,,,,,
8:11:53 PM,-644,-17396,1340,143,-297,352,,,,,,,,,,,,,,,,,,,
8:11:54 PM,-832,-14984,-1176,113,-319,92,,,,,,,,,,,,,,,,,,,
8:11:55 PM,4712,-17080,1116,213,-141,-146,,,,,,,,,,,,,,,,,,,
8:11:56 PM,1224,-17688,168,99,741,-155,,,,,,,,,,,,,,,,,,,
8:11:57 PM,1900,-17236,1368,-264,-430,-182,,,,,,,,,,,,,,,,,,,
8:11:58 PM,1404,-17300,1760,-84,-478,151,,,,,,,,,,,,,,,,,,,
8:11:59 PM,2760,-17008,676,146,-167,28,,,,,,,,,,,,,,,,,,,
8:12:00 PM,-1504,-15704,-2440,-53,344,-190,,,,,,,,,,,,,,,,,,,
8:12:01 PM,964,-18444,820,-150,-261,-4,,,,,,,,,,,,,,,,,,,
8:12:02 PM,2468,-16032,548,86,-596,-178,,,,,,,,,,,,,,,,,,,
8:12:03 PM,-188,-14708,-244,-281,407,-185,,,,,,,,,,,,,,,,,,,
8:12:04 PM,1952,-18040,1968,245,263,250,,,,,,,,,,,,,,,,,,,
8:12:05 PM,-940,-16624,-1076,75,466,-97,,,,,,,,,,,,,,,,,,,
8:12:06 PM,4092,-17824,292,-104,-714,-35,,,,,,,,,,,,,,,,,,,
8:12:07 PM,1136,-16092,272,-283,601,-620,,,,,,,,,,,,,,,,,,,
8:12:08 PM,-728,-18220,1220,431,-582,675,,,,,,,,,,,,,,,,,,,
8:12:09 PM,-2680,-15792,-560,-140,120,-199,,,,,,,,,,,,,,,,,,,
8:12:10 PM,660,-16216,-1556,160,899,106,,,,,,,,,,,,,,,,,,,
8:12:11 PM,4756,-17092,756,116,271,-185,,,,,,,,,,,,,,,,,,,
8:12:12 PM,4192,-17772,632,118,-76,-11,,,,,,,,,,,,,,,,,,,
8:12:13 PM,1780,-16752,-428,-86,-366,-231,,,,,,,,,,,,,,,,,,,
8:12:14 PM,-1136,-15300,-744,-24,-649,-133,,,,,,,,,,,,,,,,,,,
8:12:15 PM,-568,-17788,1960,-426,-562,-241,,,,,,,,,,,,,,,,,,,
8:12:16 PM,-2012,-14768,832,67,469,-77,,,,,,,,,,,,,,,,,,,
8:12:17 PM,2584,-16092,660,-272,171,-205,,,,,,,,,,,,,,,,,,,
8:12:18 PM,-796,-16472,-1136,51,371,47,,,,,,,,,,,,,,,,,,,
8:12:19 PM,1744,-15996,-2384,158,-259,61,,,,,,,,,,,,,,,,,,,
8:12:21 PM,3244,-15700,312,81,-971,169,,,,,,,,,,,,,,,,,,,
8:12:22 PM,1692,-16904,1660,-159,-854,-151,,,,,,,,,,,,,,,,,,,
8:12:23 PM,-1508,-17220,1172,-24,-465,218,,,,,,,,,,,,,,,,,,,
8:12:24 PM,-928,-17472,1060,215,27,218,,,,,,,,,,,,,,,,,,,
8:12:25 PM,908,-14868,-1960,174,349,-28,,,,,,,,,,,,,,,,,,,
8:12:26 PM,2408,-18160,544,196,-287,197,,,,,,,,,,,,,,,,,,,
8:12:27 PM,-2232,-16132,-164,-191,618,-263,,,,,,,,,,,,,,,,,,,
8:12:28 PM,2184,-16148,-32,4,77,-14,,,,,,,,,,,,,,,,,,,
8:12:29 PM,1064,-15348,576,58,-275,-136,,,,,,,,,,,,,,,,,,,
8:12:30 PM,1796,-17644,1432,376,-353,265,,,,,,,,,,,,,,,,,,,
8:12:31 PM,2584,-15628,320,270,-141,136,,,,,,,,,,,,,,,,,,,
8:12:32 PM,2264,-17356,-284,211,-101,-111,,,,,,,,,,,,,,,,,,,
8:12:33 PM,3828,-17932,1216,55,-131,123,,,,,,,,,,,,,,,,,,,
8:12:34 PM,156,-15296,-844,-418,449,-562,,,,,,,,,,,,,,,,,,,
8:12:35 PM,-2640,-17264,1364,-428,-204,100,,,,,,,,,,,,,,,,,,,
8:12:36 PM,4092,-16580,1368,-7,-90,-135,,,,,,,,,,,,,,,,,,,
8:12:37 PM,40,-14084,-1972,-268,492,-82,,,,,,,,,,,,,,,,,,,
8:12:38 PM,2004,-17576,-124,-292,-224,-227,,,,,,,,,,,,,,,,,,,
8:12:39 PM,3936,-16816,752,-112,121,45,,,,,,,,,,,,,,,,,,,
8:12:40 PM,1912,-15944,344,-379,525,-530,,,,,,,,,,,,,,,,,,,
8:12:41 PM,-1900,-15880,132,-24,591,341,,,,,,,,,,,,,,,,,,,
8:12:42 PM,584,-17340,512,318,703,167,,,,,,,,,,,,,,,,,,,
8:12:43 PM,-776,-17308,-1340,248,-249,97,,,,,,,,,,,,,,,,,,,
8:12:44 PM,4732,-16836,784,-240,-515,-322,,,,,,,,,,,,,,,,,,,
8:12:45 PM,1588,-15148,-112,-284,761,-399,,,,,,,,,,,,,,,,,,,
8:12:46 PM,-1288,-17088,932,-153,15,149,,,,,,,,,,,,,,,,,,,
8:12:47 PM,-1440,-14732,-1416,-50,-114,-13,,,,,,,,,,,,,,,,,,,
8:12:48 PM,5736,-16332,332,41,-198,-227,,,,,,,,,,,,,,,,,,,
8:12:49 PM,3644,-18180,1412,-36,568,-47,,,,,,,,,,,,,,,,,,,
8:12:50 PM,3628,-16236,-940,-377,-286,-384,,,,,,,,,,,,,,,,,,,
8:12:51 PM,640,-16008,-560,-374,206,-231,,,,,,,,,,,,,,,,,,,
8:12:52 PM,2268,-15544,132,-103,412,-402,,,,,,,,,,,,,,,,,,,
8:12:53 PM,-100,-14864,60,-28,317,149,,,,,,,,,,,,,,,,,,,
8:12:54 PM,2232,-15864,856,170,117,-11,,,,,,,,,,,,,,,,,,,
8:12:55 PM,1572,-16016,-548,207,414,-237,,,,,,,,,,,,,,,,,,,
8:12:56 PM,2756,-17204,-128,-362,16,-227,,,,,,,,,,,,,,,,,,,
8:12:57 PM,3916,-16552,1420,39,-448,213,,,,,,,,,,,,,,,,,,,
8:12:58 PM,2428,-17240,552,300,-183,165,,,,,,,,,,,,,,,,,,,
8:12:59 PM,5376,-17116,136,-199,323,-116,,,,,,,,,,,,,,,,,,,
8:13:00 PM,-1056,-15900,-1480,-236,1319,-647,,,,,,,,,,,,,,,,,,,
8:13:01 PM,3464,-17084,1436,-90,-712,141,,,,,,,,,,,,,,,,,,,
8:13:02 PM,-3772,-16028,408,-285,-13,164,,,,,,,,,,,,,,,,,,,
8:13:03 PM,2084,-14860,-68,101,467,-8,,,,,,,,,,,,,,,,,,,
8:13:04 PM,-2584,-16208,-512,268,-57,-100,,,,,,,,,,,,,,,,,,,
8:13:05 PM,5004,-18812,1276,116,133,81,,,,,,,,,,,,,,,,,,,
8:13:06 PM,1728,-16312,-836,-311,-184,-376,,,,,,,,,,,,,,,,,,,
8:13:07 PM,3212,-18284,1292,-131,-356,-110,,,,,,,,,,,,,,,,,,,
8:13:08 PM,908,-17008,1484,-85,325,-23,,,,,,,,,,,,,,,,,,,
8:13:09 PM,1500,-16108,1400,32,-357,-15,,,,,,,,,,,,,,,,,,,
8:13:10 PM,-320,-16284,-668,67,-11,259,,,,,,,,,,,,,,,,,,,
8:13:11 PM,2332,-14976,-1916,-13,-165,-217,,,,,,,,,,,,,,,,,,,
8:13:12 PM,640,-16104,-2400,-59,849,-157,,,,,,,,,,,,,,,,,,,
8:13:13 PM,-768,-18192,1152,-202,17,205,,,,,,,,,,,,,,,,,,,
8:13:14 PM,2812,-17324,2200,148,-551,89,,,,,,,,,,,,,,,,,,,
8:13:15 PM,-632,-16564,-480,-141,54,-288,,,,,,,,,,,,,,,,,,,
8:13:16 PM,4756,-17008,524,-111,187,-268,,,,,,,,,,,,,,,,,,,
8:13:17 PM,-1240,-16636,-1912,-115,-208,-183,,,,,,,,,,,,,,,,,,,
8:13:18 PM,1964,-16040,-1832,-377,-79,-353,,,,,,,,,,,,,,,,,,,
8:13:19 PM,2244,-15532,8,-300,805,-513,,,,,,,,,,,,,,,,,,,
8:13:20 PM,-452,-16988,1388,70,-404,193,,,,,,,,,,,,,,,,,,,
8:13:21 PM,676,-15268,-544,88,-360,192,,,,,,,,,,,,,,,,,,,
8:13:22 PM,1284,-15520,-1548,18,264,-108,,,,,,,,,,,,,,,,,,,
8:13:23 PM,2084,-15824,-1288,-345,-380,-278,,,,,,,,,,,,,,,,,,,
8:13:24 PM,3444,-18212,1372,-52,-330,-170,,,,,,,,,,,,,,,,,,,
8:13:25 PM,68,-16056,-392,-231,562,-443,,,,,,,,,,,,,,,,,,,
8:13:26 PM,-1932,-17856,1388,381,-785,389,,,,,,,,,,,,,,,,,,,
8:13:27 PM,-3088,-15440,-1236,-61,-31,81,,,,,,,,,,,,,,,,,,,
8:13:28 PM,2532,-17080,816,335,175,-39,,,,,,,,,,,,,,,,,,,
8:13:29 PM,1648,-17752,512,-73,1233,-86,,,,,,,,,,,,,,,,,,,
8:13:30 PM,7420,-16752,776,-335,-314,-193,,,,,,,,,,,,,,,,,,,
8:13:31 PM,3716,-15964,208,-417,-477,-330,,,,,,,,,,,,,,,,,,,
8:13:32 PM,2984,-15532,412,116,-652,16,,,,,,,,,,,,,,,,,,,
8:13:33 PM,792,-16012,1300,204,-974,88,,,,,,,,,,,,,,,,,,,
8:13:34 PM,-3228,-15396,-1256,23,-144,82,,,,,,,,,,,,,,,,,,,
8:13:35 PM,1580,-16772,-1152,180,-31,77,,,,,,,,,,,,,,,,,,,
8:13:36 PM,2720,-17964,-244,-41,-212,48,,,,,,,,,,,,,,,,,,,
8:13:37 PM,-808,-15932,-368,-284,413,-90,,,,,,,,,,,,,,,,,,,
8:13:38 PM,2320,-16804,1624,-335,-320,-336,,,,,,,,,,,,,,,,,,,
8:13:39 PM,-2576,-15920,336,-172,198,318,,,,,,,,,,,,,,,,,,,
8:13:40 PM,-1380,-16144,-644,211,-228,-215,,,,,,,,,,,,,,,,,,,
8:13:41 PM,1724,-17240,-120,36,618,-99,,,,,,,,,,,,,,,,,,,
